"Timestamp","Type","Value"
"2025-01-27 00:00:00","Sleep Hours","9.30"
"2025-01-27 00:00:00","Time In Deep Sleep","1.03333330154419"
"2025-01-27 00:00:00","Time In Light Sleep","5.84999990463257"
"2025-01-27 00:00:00","Time In REM Sleep","2.41666674613953"
"2025-01-27 00:00:00","Time Awake","0.0333333350718021"
"2025-01-27 00:00:00","HRV","68"
"2025-01-27 00:00:00","Pulse","48"
"2025-01-27 00:00:00","Stress Level","Max : 96 / Avg : 18"
"2025-01-27 00:00:00","Stress Qualifier","calm"
"2025-01-27 00:00:00","Body Battery","Min : 52 / Max : 100 / Avg : 76"
"2025-01-28 00:00:00","Sleep Hours","8.43"
"2025-01-28 00:00:00","Time In Deep Sleep","1.23333334922791"
"2025-01-28 00:00:00","Time In Light Sleep","5.71666669845581"
"2025-01-28 00:00:00","Time In REM Sleep","1.48333334922791"
"2025-01-28 00:00:00","Time Awake","0.349999994039536"
"2025-01-28 00:00:00","HRV","64"
"2025-01-28 00:00:00","Pulse","49"
"2025-01-28 00:00:00","Stress Level","Max : 97 / Avg : 29"
"2025-01-28 00:00:00","Stress Qualifier","balanced"
"2025-01-28 00:00:00","Body Battery","Min : 40 / Max : 100 / Avg : 65"
"2025-01-29 00:00:00","Sleep Hours","7.70"
"2025-01-29 00:00:00","Time In Deep Sleep","1.25"
"2025-01-29 00:00:00","Time In Light Sleep","4.71666669845581"
"2025-01-29 00:00:00","Time In REM Sleep","1.73333334922791"
"2025-01-29 00:00:00","Time Awake","0"
"2025-01-29 00:00:00","HRV","67"
"2025-01-29 00:00:00","Pulse","48"
"2025-01-29 00:00:00","Stress Level","Max : 92 / Avg : 28"
"2025-01-29 00:00:00","Stress Qualifier","balanced"
"2025-01-29 00:00:00","Body Battery","Min : 32 / Max : 100 / Avg : 66"
"2025-01-30 00:00:00","Sleep Hours","8.28"
"2025-01-30 00:00:00","Time In Deep Sleep","0.833333313465118"
"2025-01-30 00:00:00","Time In Light Sleep","6.56666660308838"
"2025-01-30 00:00:00","Time In REM Sleep","0.883333325386047"
"2025-01-30 00:00:00","Time Awake","0.833333313465118"
"2025-01-30 00:00:00","HRV","51"
"2025-01-30 00:00:00","Pulse","52"
"2025-01-30 00:00:00","Stress Level","Max : 99 / Avg : 33"
"2025-01-30 00:00:00","Stress Qualifier","balanced"
"2025-01-30 00:00:00","Body Battery","Min : 25 / Max : 67 / Avg : 44"
"2025-01-31 00:00:00","Sleep Hours","8.80"
"2025-01-31 00:00:00","Time In Deep Sleep","1.51666665077209"
"2025-01-31 00:00:00","Time In Light Sleep","5.15000009536743"
"2025-01-31 00:00:00","Time In REM Sleep","2.13333344459534"
"2025-01-31 00:00:00","Time Awake","0"
"2025-01-31 00:00:00","HRV","64"
"2025-01-31 00:00:00","Pulse","49"
"2025-01-31 00:00:00","Stress Level","Max : 98 / Avg : 22"
"2025-01-31 00:00:00","Stress Qualifier","calm"
"2025-01-31 00:00:00","Body Battery","Min : 39 / Max : 98 / Avg : 66"
"2025-02-01 00:00:00","Sleep Hours","8.37"
"2025-02-01 00:00:00","Time In Deep Sleep","1.85000002384186"
"2025-02-01 00:00:00","Time In Light Sleep","4.44999980926514"
"2025-02-01 00:00:00","Time In REM Sleep","2.06666660308838"
"2025-02-01 00:00:00","Time Awake","0"
"2025-02-01 00:00:00","HRV","68"
"2025-02-01 00:00:00","Pulse","48"
"2025-02-01 00:00:00","Stress Level","Max : 99 / Avg : 46"
"2025-02-01 00:00:00","Stress Qualifier","stressful"
"2025-02-01 00:00:00","Body Battery","Min : 14 / Max : 100 / Avg : 54"
"2025-02-01 09:25:38","Weight Pounds","189.00"
"2025-02-02 00:00:00","Sleep Hours","9.42"
"2025-02-02 00:00:00","Time In Deep Sleep","1.93333327770233"
"2025-02-02 00:00:00","Time In Light Sleep","5.81666660308838"
"2025-02-02 00:00:00","Time In REM Sleep","1.66666662693024"
"2025-02-02 00:00:00","Time Awake","0.216666668653488"
"2025-02-02 00:00:00","HRV","55"
"2025-02-02 00:00:00","Pulse","49"
"2025-02-02 00:00:00","Stress Level","Max : 97 / Avg : 31"
"2025-02-02 00:00:00","Stress Qualifier","balanced"
"2025-02-02 00:00:00","Body Battery","Min : 26 / Max : 71 / Avg : 44"
