"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Yoga","Other","","","","2025-01-27","","","","",""," *02/05/2025 Jake Robinson: Test*","0.888944149017334","","","","","70","117","","","0.523388952451496","26.9","53","0","0","0","0","0","0","","","","","","","","","","","","","","2","5"
"Breathing","Other","","","","2025-01-27","","","","","","","0.092777781188488","","","","","59","131","","","0.539294267457372","2.82","6","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Zwift - 1/28 - Threshold Development in Watopia","Bike","","","","2025-01-28","","13883.51953125","184","225","778.474"," *02/05/2025 Jake Robinson: Test*","1.1691666841507","3.29800009727478","","80","","132","150","","","0.768979063683318","68.67","38","33","0","0","0","0","0","","","","13","31","0","30","0","","","","","","6","5"
"Breathing","Other","","","","2025-01-28","","","","","","","0.092777781188488","","","","","58","69","","","0.53625416280951","2.79","6","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-01-29","","0","","",""," *02/05/2025 Jake Robinson: Test*","0.847487807273865","0","","","","110","154","","","0.596986990888424","33.32","45","6","0","0","0","0","0","","","","","","","","","","","","","","5","5"
"Zwift - 1/29 - Evening Ride in France","Bike","","","","2025-01-29","","27375.609375","169","179","611.86"," *02/05/2025 Jake Robinson: Test*","1.00416672229767","7.57200002670288","","80","","127","140","","","0.679155774113933","46","59","3","0","0","0","0","0","","","","0","60","0","0","0","","","","","","3","5"
"Breathing","Other","","","","2025-01-29","","","","","","","0.092777781188488","","","","","74","104","","","0.540728351362259","2.83","6","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Zwift - 1/30 - VO2 Max Focus in Watopia","Bike","","","","2025-01-30","","13178.3603515625","185","259","724.98"," *02/05/2025 Jake Robinson: Test*","1.08249998092651","3.38100004196167","","83","","135","161","","","0.812317822362553","71.16","39","16","11","0","0","0","0","","","","12","33","0","0","20","","","","","","8","5"
"Yoga","Other","","","","2025-01-31","","","","",""," *02/05/2025 Jake Robinson: Test*","0.584230303764343","","","","","97","132","","","0.57721922360918","21.27","35","0","0","0","0","0","0","","","","","","","","","","","","","","1","3"
"Zwift - Pacer Group Ride: Tick Tock in Watopia with Bernie","Bike","","","","2025-02-01","","6830.0400390625","197","453","134.019"," *02/05/2025 Jake Robinson: Test*","0.188333332538605","10.0729999542236","","77","","136","160","","","0.843156645122354","12.85","4","6","2","0","0","0","0","","","","2","4","3","2","2","","","","","","2","5"
"Zwift - Group Ride: Standard | Stage 4 | Tour de Zwift on Lutscher in Innsbruck","Bike","","","","2025-02-01","","26993.349609375","245","466","1009.73"," *02/05/2025 Jake Robinson: Test*","1.14361107349396","6.55600023269653","","77","","170","191","","","1.01794394670416","117.5","1","1","4","18","14","18","24","","","","3","2","7","16","41","","","","","","9","5"
"Walking","Walk","","","","2025-02-01","","2249.6298828125","","","","","0.540306687355042","1.15699994564056","","85","","98","111","","","0.38075049915845","8.54","32","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Zwift - Sugar Cookie in Watopia","Bike","","","","2025-02-02","","50430.2890625","207","600","1133.007"," *02/05/2025 Jake Robinson: Test*","1.51361107826233","9.25399971008301","","78","","138","172","","","0.892453170040056","119.83","24","65","5","1","0","0","0","","","","3","30","30","15","13","","","","","","7","5"
